concept,cogid,form_a,form_b,seg_a,seg_b,differing_features
carryonshoulder,7600,ʎeβaɾ+a+la+ɛspalda,lɨvaɾ+nu+õbɾu,l,n,"cont,nas"
carryonshoulder,7600,ʎeβaɾ+a+la+ɛspalda,lɨvaɾ+nu+õbɾu,l,ɾ,"hi,lo"
carryonshoulder,7600,ʎeβaɾ+a+la+ɛspalda,lɨvaɾ+nu+õbɾu,p,b,voi
carryonshoulder,7600,ʎeβaɾ+a+la+ɛspalda,lɨvaɾ+nu+õbɾu,ʎ,l,"ant,hi"
carryonshoulder,7600,ʎeβaɾ+a+la+ɛspalda,lɨvaɾ+nu+õbɾu,β,v,strid
carryunderarm,7613,ʎeβaɾ+βaxo+ɛl+βɾaθo,lɨvaɾ+dɨbaiʃu+du+bɾasu,x,ʃ,"cor,back,strid,hi"
carryunderarm,7613,ʎeβaɾ+βaxo+ɛl+βɾaθo,lɨvaɾ+dɨbaiʃu+du+bɾasu,ʎ,l,"ant,hi"
carryunderarm,7613,ʎeβaɾ+βaxo+ɛl+βɾaθo,lɨvaɾ+dɨbaiʃu+du+bɾasu,β,b,cont
carryunderarm,7613,ʎeβaɾ+βaxo+ɛl+βɾaθo,lɨvaɾ+dɨbaiʃu+du+bɾasu,β,d,"cont,cor,lab"
carryunderarm,7613,ʎeβaɾ+βaxo+ɛl+βɾaθo,lɨvaɾ+dɨbaiʃu+du+bɾasu,β,v,strid
carryunderarm,7613,ʎeβaɾ+βaxo+ɛl+βɾaθo,lɨvaɾ+dɨbaiʃu+du+bɾasu,θ,s,strid
cart,7626,karo,kɐʁwaʒɐ̃ĩ,r,ʁ,"ant,cor,back,strid,hi,lo,son"
cart,7626,karo,kɐʁɔsɐ,r,s,"voi,strid,hi,lo,son"
cart,7626,karɛton,kɐʁwaʒɐ̃ĩ,r,ʁ,"ant,cor,back,strid,hi,lo,son"
cart,7626,karɛton,kɐʁɔsɐ,r,ʁ,"ant,cor,back,strid,hi,lo,son"
cart,7626,karɛton,kɐʁɔsɐ,t,s,"cont,strid"
carve,7669,ɛskulpiɾ,ʃkulˠpiɾ,l,lˠ,hi
carve,7669,ɛskulpiɾ,ʃkulˠpiɾ,s,ʃ,ant
cattle,7779,ganaðo,gadu,ð,d,cont
cave,7857,kweβa,kɐvɛɾnɐ,w,v,"ant,back,round,strid,hi,son"
cave,7857,kweβa,kɐvɛɾnɐ,β,n,"cont,nas,cor,lab,son"
centerormiddle,7994,meðjo,sẽtɾu,j,ɾ,"ant,cor,hi,lo"
centerormiddle,7994,meðjo,sẽtɾu,m,s,"cont,voi,nas,cor,lab,strid,son"
centerormiddle,7994,meðjo,sẽtɾu,ð,t,"cont,voi"
centerormiddle,7994,θentɾo,mɐiu,n,m,"cor,lab"
centerormiddle,7994,θentɾo,sẽtɾu,θ,s,strid
centipede,8007,θjempjes,sẽtupɐiɐ,θ,s,strid
certain,8013,θjɛɾto,sɛɾtu,θ,s,strid
certain,8013,θjɛɾto,sɨguɾu,t,ɾ,"cont,voi,hi,lo,son"
certain,8013,θjɛɾto,sɨguɾu,θ,s,strid
change,8119,muðaɾ,mudaɾ,ð,d,cont
charcoal,8208,kaɾβon,kɐɾvɐ̃ũ,β,v,strid
cheese,8342,keso,kwɐiʒu,s,ʒ,"voi,ant"
chew,8374,maskaɾ,mɐʃkaɾ,s,ʃ,ant
chew,8374,maskaɾ,mɐʃtigaɾ,k,g,voi
chew,8374,maskaɾ,mɐʃtigaɾ,s,t,"cont,strid"
chew,8374,mastikaɾ,mɐʃkaɾ,s,ʃ,ant
chew,8374,mastikaɾ,mɐʃtigaɾ,k,g,voi
chew,8374,mastikaɾ,mɐʃtigaɾ,s,ʃ,ant
chicken,8407,poʎo,fɾɐ̃gu,p,f,"cont,strid"
chicken,8407,poʎo,fɾɐ̃gu,ʎ,g,"cont,cor,back,son"
childdescendant,8496,ixa,pɾɔlɨ,x,l,"voi,ant,cor,back,hi,son"
childdescendant,8496,ixo,pɾɔlɨ,x,l,"voi,ant,cor,back,hi,son"
childyounghuman,8512,niɲo,mɨninu,ɲ,n,"ant,cor,hi"
choose,8729,ɛskoxɛɾ,ʃkuʎeɾ,s,ʃ,ant
choose,8729,ɛskoxɛɾ,ʃkuʎeɾ,x,ʎ,"voi,cor,back,son"
chop,8773,pikaɾ,koɾtaɾ,k,t,"ant,cor,back,hi"
chop,8773,pikaɾ,koɾtaɾ,p,k,"ant,lab,back,hi"
chop,8773,pikaɾ,ɐbɐteɾ,k,t,"ant,cor,back,hi"
chop,8773,pikaɾ,ɐbɐteɾ,p,b,voi
circle,8863,θiɾkulo,siɾkulu,θ,s,strid
citizen,8925,suβðito,sidɐdɐ̃ũ,t,d,voi
citizen,8925,suβðito,sidɐdɐ̃ũ,ð,d,cont
citizen,8925,suβðito,suditu,ð,d,cont
citizen,8925,θjuðaðano,sidɐdɐ̃ũ,n,d,"nas,son"
citizen,8925,θjuðaðano,sidɐdɐ̃ũ,ð,d,cont
citizen,8925,θjuðaðano,sidɐdɐ̃ũ,θ,s,strid
citizen,8925,θjuðaðano,suditu,n,t,"voi,nas,son"
citizen,8925,θjuðaðano,suditu,ð,d,cont
citizen,8925,θjuðaðano,suditu,θ,s,strid
clan,8947,tɾiβu,tɾibu,β,b,cont
claw,8993,gara,gaʁɐ,r,ʁ,"ant,cor,back,strid,hi,lo,son"
clay,9026,aɾθiʎa,ɐɾʒilɐ,ʎ,l,"ant,hi"
clay,9026,aɾθiʎa,ɐɾʒilɐ,θ,ʒ,"voi,ant,strid"
clear,9172,eβiðente,ividẽtɨ,ð,d,cont
clear,9172,eβiðente,ividẽtɨ,β,v,strid
clear,9172,eβiðente,klaɾu,n,ɾ,"cont,nas,hi,lo"
clear,9172,eβiðente,klaɾu,ð,l,son
clear,9172,eβiðente,klaɾu,β,k,"cont,voi,ant,lab,back,hi"
clear,9172,klaɾo,ividẽtɨ,k,v,"cont,voi,ant,lab,back,strid,hi"
clear,9172,klaɾo,ividẽtɨ,l,d,"cont,son"
clear,9172,klaɾo,ividẽtɨ,ɾ,t,"cont,voi,hi,lo,son"
clever,9222,kapaθ,ʃpɛɾtu,k,ʃ,"cont,cor,back,strid,hi"
clever,9222,kapaθ,ʃpɛɾtu,θ,t,cont
cloak,9302,kapa,mɐ̃tu,k,m,"voi,nas,ant,lab,back,hi,son"
cloak,9302,kapa,mɐ̃tu,p,t,"cor,lab"
cloak,9302,manta,kapɐ,m,k,"voi,nas,ant,lab,back,hi,son"
cloak,9302,manta,kapɐ,t,p,"cor,lab"
cloth,9390,tela,pɐnu,l,n,"cont,nas"
cloth,9390,tela,pɐnu,t,p,"cor,lab"
clothes,9476,ropa,ʁopɐ,r,ʁ,"ant,cor,back,strid,hi,lo,son"
club,9511,garote,kɐsɛtɨ,g,k,voi
club,9511,garote,kɐsɛtɨ,r,s,"voi,strid,hi,lo,son"
club,9511,garote,puʁɛtɨ,g,p,"voi,ant,lab,back,hi"
club,9511,garote,puʁɛtɨ,r,ʁ,"ant,cor,back,strid,hi,lo,son"
coat,9578,aβɾiɣo,kɐzaku,ɣ,k,"cont,voi"
